2016-02-25T16:35:07.558Z - error: uncaughtException: doClose is not defined date=Thu Feb 25 2016 22:05:07 GMT+0530 (India Standard Time), pid=11536, uid=null, gid=null, cwd=D:\dev\sputnik, execPath=C:\Program Files\nodejs\node.exe, version=v4.2.4, argv=[C:\Program Files\nodejs\node.exe, D:\dev\sputnik\builder.js, HR92U013, mydb6, schemas\metadata], rss=54394880, heapTotal=25985104, heapUsed=21230768, loadavg=[0, 0, 0], uptime=231425.602734, trace=[column=4, file=D:\dev\sputnik\sqlEngine.js, function=null, line=68, method=null, native=false], stack=[ReferenceError: doClose is not defined,     at D:\dev\sputnik\sqlEngine.js:68:4]
2016-02-25T16:35:07.575Z - error: uncaughtException: doClose is not defined date=Thu Feb 25 2016 22:05:07 GMT+0530 (India Standard Time), pid=11536, uid=null, gid=null, cwd=D:\dev\sputnik, execPath=C:\Program Files\nodejs\node.exe, version=v4.2.4, argv=[C:\Program Files\nodejs\node.exe, D:\dev\sputnik\builder.js, HR92U013, mydb6, schemas\metadata], rss=54464512, heapTotal=25985104, heapUsed=21300216, loadavg=[0, 0, 0], uptime=231425.619734, trace=[column=4, file=D:\dev\sputnik\sqlEngine.js, function=null, line=68, method=null, native=false], stack=[ReferenceError: doClose is not defined,     at D:\dev\sputnik\sqlEngine.js:68:4]
2016-02-25T16:35:07.593Z - error: uncaughtException: doClose is not defined date=Thu Feb 25 2016 22:05:07 GMT+0530 (India Standard Time), pid=11536, uid=null, gid=null, cwd=D:\dev\sputnik, execPath=C:\Program Files\nodejs\node.exe, version=v4.2.4, argv=[C:\Program Files\nodejs\node.exe, D:\dev\sputnik\builder.js, HR92U013, mydb6, schemas\metadata], rss=54530048, heapTotal=25985104, heapUsed=21368976, loadavg=[0, 0, 0], uptime=231425.636734, trace=[column=4, file=D:\dev\sputnik\sqlEngine.js, function=null, line=68, method=null, native=false], stack=[ReferenceError: doClose is not defined,     at D:\dev\sputnik\sqlEngine.js:68:4]
2016-02-25T16:35:07.611Z - error: uncaughtException: doClose is not defined date=Thu Feb 25 2016 22:05:07 GMT+0530 (India Standard Time), pid=11536, uid=null, gid=null, cwd=D:\dev\sputnik, execPath=C:\Program Files\nodejs\node.exe, version=v4.2.4, argv=[C:\Program Files\nodejs\node.exe, D:\dev\sputnik\builder.js, HR92U013, mydb6, schemas\metadata], rss=54595584, heapTotal=25985104, heapUsed=21440120, loadavg=[0, 0, 0], uptime=231425.654234, trace=[column=4, file=D:\dev\sputnik\sqlEngine.js, function=null, line=68, method=null, native=false], stack=[ReferenceError: doClose is not defined,     at D:\dev\sputnik\sqlEngine.js:68:4]
2016-02-25T16:35:07.630Z - error: uncaughtException: doClose is not defined date=Thu Feb 25 2016 22:05:07 GMT+0530 (India Standard Time), pid=11536, uid=null, gid=null, cwd=D:\dev\sputnik, execPath=C:\Program Files\nodejs\node.exe, version=v4.2.4, argv=[C:\Program Files\nodejs\node.exe, D:\dev\sputnik\builder.js, HR92U013, mydb6, schemas\metadata], rss=54738944, heapTotal=25985104, heapUsed=21560248, loadavg=[0, 0, 0], uptime=231425.675234, trace=[column=4, file=D:\dev\sputnik\sqlEngine.js, function=null, line=68, method=null, native=false], stack=[ReferenceError: doClose is not defined,     at D:\dev\sputnik\sqlEngine.js:68:4]
2016-02-25T16:35:07.649Z - error: uncaughtException: doClose is not defined date=Thu Feb 25 2016 22:05:07 GMT+0530 (India Standard Time), pid=11536, uid=null, gid=null, cwd=D:\dev\sputnik, execPath=C:\Program Files\nodejs\node.exe, version=v4.2.4, argv=[C:\Program Files\nodejs\node.exe, D:\dev\sputnik\builder.js, HR92U013, mydb6, schemas\metadata], rss=54845440, heapTotal=25985104, heapUsed=21629840, loadavg=[0, 0, 0], uptime=231425.691234, trace=[column=4, file=D:\dev\sputnik\sqlEngine.js, function=null, line=68, method=null, native=false], stack=[ReferenceError: doClose is not defined,     at D:\dev\sputnik\sqlEngine.js:68:4]
2016-02-25T16:35:07.665Z - error: uncaughtException: doClose is not defined date=Thu Feb 25 2016 22:05:07 GMT+0530 (India Standard Time), pid=11536, uid=null, gid=null, cwd=D:\dev\sputnik, execPath=C:\Program Files\nodejs\node.exe, version=v4.2.4, argv=[C:\Program Files\nodejs\node.exe, D:\dev\sputnik\builder.js, HR92U013, mydb6, schemas\metadata], rss=55062528, heapTotal=25985104, heapUsed=20136312, loadavg=[0, 0, 0], uptime=231425.710734, trace=[column=4, file=D:\dev\sputnik\sqlEngine.js, function=null, line=68, method=null, native=false], stack=[ReferenceError: doClose is not defined,     at D:\dev\sputnik\sqlEngine.js:68:4]
2016-02-25T16:35:07.683Z - error: uncaughtException: doClose is not defined date=Thu Feb 25 2016 22:05:07 GMT+0530 (India Standard Time), pid=11536, uid=null, gid=null, cwd=D:\dev\sputnik, execPath=C:\Program Files\nodejs\node.exe, version=v4.2.4, argv=[C:\Program Files\nodejs\node.exe, D:\dev\sputnik\builder.js, HR92U013, mydb6, schemas\metadata], rss=55062528, heapTotal=25985104, heapUsed=20205432, loadavg=[0, 0, 0], uptime=231425.726734, trace=[column=4, file=D:\dev\sputnik\sqlEngine.js, function=null, line=68, method=null, native=false], stack=[ReferenceError: doClose is not defined,     at D:\dev\sputnik\sqlEngine.js:68:4]
2016-02-25T16:35:07.699Z - error: uncaughtException: doClose is not defined date=Thu Feb 25 2016 22:05:07 GMT+0530 (India Standard Time), pid=11536, uid=null, gid=null, cwd=D:\dev\sputnik, execPath=C:\Program Files\nodejs\node.exe, version=v4.2.4, argv=[C:\Program Files\nodejs\node.exe, D:\dev\sputnik\builder.js, HR92U013, mydb6, schemas\metadata], rss=55070720, heapTotal=25985104, heapUsed=20274216, loadavg=[0, 0, 0], uptime=231425.744234, trace=[column=4, file=D:\dev\sputnik\sqlEngine.js, function=null, line=68, method=null, native=false], stack=[ReferenceError: doClose is not defined,     at D:\dev\sputnik\sqlEngine.js:68:4]
2016-02-25T16:35:07.716Z - error: uncaughtException: doClose is not defined date=Thu Feb 25 2016 22:05:07 GMT+0530 (India Standard Time), pid=11536, uid=null, gid=null, cwd=D:\dev\sputnik, execPath=C:\Program Files\nodejs\node.exe, version=v4.2.4, argv=[C:\Program Files\nodejs\node.exe, D:\dev\sputnik\builder.js, HR92U013, mydb6, schemas\metadata], rss=55070720, heapTotal=25985104, heapUsed=20387800, loadavg=[0, 0, 0], uptime=231425.761734, trace=[column=4, file=D:\dev\sputnik\sqlEngine.js, function=null, line=68, method=null, native=false], stack=[ReferenceError: doClose is not defined,     at D:\dev\sputnik\sqlEngine.js:68:4]
2016-02-25T16:35:07.733Z - error: uncaughtException: doClose is not defined date=Thu Feb 25 2016 22:05:07 GMT+0530 (India Standard Time), pid=11536, uid=null, gid=null, cwd=D:\dev\sputnik, execPath=C:\Program Files\nodejs\node.exe, version=v4.2.4, argv=[C:\Program Files\nodejs\node.exe, D:\dev\sputnik\builder.js, HR92U013, mydb6, schemas\metadata], rss=55324672, heapTotal=25985104, heapUsed=20458416, loadavg=[0, 0, 0], uptime=231425.778734, trace=[column=4, file=D:\dev\sputnik\sqlEngine.js, function=null, line=68, method=null, native=false], stack=[ReferenceError: doClose is not defined,     at D:\dev\sputnik\sqlEngine.js:68:4]
2016-02-25T16:35:07.750Z - error: uncaughtException: doClose is not defined date=Thu Feb 25 2016 22:05:07 GMT+0530 (India Standard Time), pid=11536, uid=null, gid=null, cwd=D:\dev\sputnik, execPath=C:\Program Files\nodejs\node.exe, version=v4.2.4, argv=[C:\Program Files\nodejs\node.exe, D:\dev\sputnik\builder.js, HR92U013, mydb6, schemas\metadata], rss=55357440, heapTotal=25985104, heapUsed=20528552, loadavg=[0, 0, 0], uptime=231425.794234, trace=[column=4, file=D:\dev\sputnik\sqlEngine.js, function=null, line=68, method=null, native=false], stack=[ReferenceError: doClose is not defined,     at D:\dev\sputnik\sqlEngine.js:68:4]
2016-02-25T16:35:07.768Z - error: uncaughtException: doClose is not defined date=Thu Feb 25 2016 22:05:07 GMT+0530 (India Standard Time), pid=11536, uid=null, gid=null, cwd=D:\dev\sputnik, execPath=C:\Program Files\nodejs\node.exe, version=v4.2.4, argv=[C:\Program Files\nodejs\node.exe, D:\dev\sputnik\builder.js, HR92U013, mydb6, schemas\metadata], rss=55390208, heapTotal=25985104, heapUsed=20612144, loadavg=[0, 0, 0], uptime=231425.812734, trace=[column=4, file=D:\dev\sputnik\sqlEngine.js, function=null, line=68, method=null, native=false], stack=[ReferenceError: doClose is not defined,     at D:\dev\sputnik\sqlEngine.js:68:4]
2016-02-25T16:35:07.787Z - error: uncaughtException: doClose is not defined date=Thu Feb 25 2016 22:05:07 GMT+0530 (India Standard Time), pid=11536, uid=null, gid=null, cwd=D:\dev\sputnik, execPath=C:\Program Files\nodejs\node.exe, version=v4.2.4, argv=[C:\Program Files\nodejs\node.exe, D:\dev\sputnik\builder.js, HR92U013, mydb6, schemas\metadata], rss=55394304, heapTotal=25985104, heapUsed=20680856, loadavg=[0, 0, 0], uptime=231425.831234, trace=[column=4, file=D:\dev\sputnik\sqlEngine.js, function=null, line=68, method=null, native=false], stack=[ReferenceError: doClose is not defined,     at D:\dev\sputnik\sqlEngine.js:68:4]
2016-02-25T16:35:07.805Z - error: uncaughtException: doClose is not defined date=Thu Feb 25 2016 22:05:07 GMT+0530 (India Standard Time), pid=11536, uid=null, gid=null, cwd=D:\dev\sputnik, execPath=C:\Program Files\nodejs\node.exe, version=v4.2.4, argv=[C:\Program Files\nodejs\node.exe, D:\dev\sputnik\builder.js, HR92U013, mydb6, schemas\metadata], rss=55410688, heapTotal=25985104, heapUsed=20849168, loadavg=[0, 0, 0], uptime=231425.850734, trace=[column=4, file=D:\dev\sputnik\sqlEngine.js, function=null, line=68, method=null, native=false], stack=[ReferenceError: doClose is not defined,     at D:\dev\sputnik\sqlEngine.js:68:4]
2016-02-25T16:35:07.823Z - error: uncaughtException: doClose is not defined date=Thu Feb 25 2016 22:05:07 GMT+0530 (India Standard Time), pid=11536, uid=null, gid=null, cwd=D:\dev\sputnik, execPath=C:\Program Files\nodejs\node.exe, version=v4.2.4, argv=[C:\Program Files\nodejs\node.exe, D:\dev\sputnik\builder.js, HR92U013, mydb6, schemas\metadata], rss=55480320, heapTotal=25985104, heapUsed=20919120, loadavg=[0, 0, 0], uptime=231425.867234, trace=[column=4, file=D:\dev\sputnik\sqlEngine.js, function=null, line=68, method=null, native=false], stack=[ReferenceError: doClose is not defined,     at D:\dev\sputnik\sqlEngine.js:68:4]
2016-02-25T16:35:07.839Z - error: uncaughtException: doClose is not defined date=Thu Feb 25 2016 22:05:07 GMT+0530 (India Standard Time), pid=11536, uid=null, gid=null, cwd=D:\dev\sputnik, execPath=C:\Program Files\nodejs\node.exe, version=v4.2.4, argv=[C:\Program Files\nodejs\node.exe, D:\dev\sputnik\builder.js, HR92U013, mydb6, schemas\metadata], rss=55541760, heapTotal=25985104, heapUsed=20988048, loadavg=[0, 0, 0], uptime=231425.884734, trace=[column=4, file=D:\dev\sputnik\sqlEngine.js, function=null, line=68, method=null, native=false], stack=[ReferenceError: doClose is not defined,     at D:\dev\sputnik\sqlEngine.js:68:4]
2016-02-25T16:35:07.856Z - error: uncaughtException: doClose is not defined date=Thu Feb 25 2016 22:05:07 GMT+0530 (India Standard Time), pid=11536, uid=null, gid=null, cwd=D:\dev\sputnik, execPath=C:\Program Files\nodejs\node.exe, version=v4.2.4, argv=[C:\Program Files\nodejs\node.exe, D:\dev\sputnik\builder.js, HR92U013, mydb6, schemas\metadata], rss=55607296, heapTotal=25985104, heapUsed=21057712, loadavg=[0, 0, 0], uptime=231425.901234, trace=[column=4, file=D:\dev\sputnik\sqlEngine.js, function=null, line=68, method=null, native=false], stack=[ReferenceError: doClose is not defined,     at D:\dev\sputnik\sqlEngine.js:68:4]
2016-02-25T16:35:07.873Z - error: uncaughtException: doClose is not defined date=Thu Feb 25 2016 22:05:07 GMT+0530 (India Standard Time), pid=11536, uid=null, gid=null, cwd=D:\dev\sputnik, execPath=C:\Program Files\nodejs\node.exe, version=v4.2.4, argv=[C:\Program Files\nodejs\node.exe, D:\dev\sputnik\builder.js, HR92U013, mydb6, schemas\metadata], rss=55676928, heapTotal=25985104, heapUsed=21128744, loadavg=[0, 0, 0], uptime=231425.918234, trace=[column=4, file=D:\dev\sputnik\sqlEngine.js, function=null, line=68, method=null, native=false], stack=[ReferenceError: doClose is not defined,     at D:\dev\sputnik\sqlEngine.js:68:4]
2016-02-25T16:35:07.937Z - error: uncaughtException: doClose is not defined date=Thu Feb 25 2016 22:05:07 GMT+0530 (India Standard Time), pid=11536, uid=null, gid=null, cwd=D:\dev\sputnik, execPath=C:\Program Files\nodejs\node.exe, version=v4.2.4, argv=[C:\Program Files\nodejs\node.exe, D:\dev\sputnik\builder.js, HR92U013, mydb6, schemas\metadata], rss=56041472, heapTotal=27017040, heapUsed=21354952, loadavg=[0, 0, 0], uptime=231425.980734, trace=[column=4, file=D:\dev\sputnik\sqlEngine.js, function=null, line=68, method=null, native=false], stack=[ReferenceError: doClose is not defined,     at D:\dev\sputnik\sqlEngine.js:68:4]
2016-02-25T16:35:07.955Z - error: uncaughtException: doClose is not defined date=Thu Feb 25 2016 22:05:07 GMT+0530 (India Standard Time), pid=11536, uid=null, gid=null, cwd=D:\dev\sputnik, execPath=C:\Program Files\nodejs\node.exe, version=v4.2.4, argv=[C:\Program Files\nodejs\node.exe, D:\dev\sputnik\builder.js, HR92U013, mydb6, schemas\metadata], rss=56115200, heapTotal=27017040, heapUsed=21429504, loadavg=[0, 0, 0], uptime=231425.998234, trace=[column=4, file=D:\dev\sputnik\sqlEngine.js, function=null, line=68, method=null, native=false], stack=[ReferenceError: doClose is not defined,     at D:\dev\sputnik\sqlEngine.js:68:4]
